"symbol","model","date2","date1","T","bval","sval","curr","cper","tper","S","Gpr"
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20180917 05:00:00","20181008 05:00:00",87,294.84,250.56,342.03,-15.02,796.04,39,44.83
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20180724 05:00:00","20180905 05:00:00",87,297.43,280.74,342.03,-5.61,796.04,39,44.83
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20180606 05:00:00","20180712 05:00:00",87,319.5,316.71,342.03,-0.87,796.04,39,44.83
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20180411 05:00:00","20180518 05:00:00",87,300.93,276.82,342.03,-8.01,796.04,39,44.83
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20180226 05:00:00","20180321 05:00:00",87,357.42,316.53,342.03,-11.44,796.04,39,44.83
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20180117 05:00:00","20180209 05:00:00",87,347.16,310.42,342.03,-10.58,796.04,39,44.83
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20171116 05:00:00","20180116 05:00:00",87,312.5,340.06,342.03,8.82,796.04,39,44.83
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20171016 05:00:00","20171027 05:00:00",87,350.6,320.87,342.03,-8.48,796.04,39,44.83
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20170913 05:00:00","20170928 05:00:00",87,366.23,339.6,342.03,-7.27,796.04,39,44.83
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20170724 05:00:00","20170908 05:00:00",87,342.52,343.4,342.03,0.26,796.04,39,44.83
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20170530 05:00:00","20170706 05:00:00",87,335.1,308.83,342.03,-7.84,796.04,39,44.83
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20170317 05:00:00","20170510 05:00:00",87,261.5,325.22,342.03,24.37,796.04,39,44.83
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20161123 05:00:00","20170227 05:00:00",87,193.14,246.23,342.03,27.49,796.04,39,44.83
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20161027 05:00:00","20161104 05:00:00",87,204.01,190.56,342.03,-6.59,796.04,39,44.83
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20160920 05:00:00","20161017 05:00:00",87,204.64,193.96,342.03,-5.22,796.04,39,44.83
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20160711 05:00:00","20160826 05:00:00",87,224.78,219.99,342.03,-2.13,796.04,39,44.83
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20160524 05:00:00","20160622 05:00:00",87,217.91,196.66,342.03,-9.75,796.04,39,44.83
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20160223 05:00:00","20160504 05:00:00",87,177.21,222.56,342.03,25.59,796.04,39,44.83
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20151028 05:00:00","20160107 05:00:00",87,212.96,215.65,342.03,1.26,796.04,39,44.83
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20150827 05:00:00","20151005 05:00:00",87,242.99,246.15,342.03,1.3,796.04,39,44.83
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20150731 05:00:00","20150804 05:00:00",87,266.15,266.28,342.03,0.05,796.04,39,44.83
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20150318 05:00:00","20150727 05:00:00",87,200.71,253.01,342.03,26.06,796.04,39,44.83
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20150130 05:00:00","20150227 05:00:00",87,203.6,203.34,342.03,-0.13,796.04,39,44.83
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20141224 05:00:00","20150114 05:00:00",87,222.26,192.69,342.03,-13.3,796.04,39,44.83
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20141030 05:00:00","20141203 05:00:00",87,238.66,229.3,342.03,-3.92,796.04,39,44.83
"TSLA","i2+i9+i2+i9+i2+i9+i2+i9+i2","20141008 05:00:00","20141022 05:00:00",87,259.28,231.1,342.03,-10.87,796.04,39,44.83
